venue_id,filename,address,lat,lng,event_count
411,백패커스홈_Backpackers_Home,제주도 서귀포시 서귀동 315-2,33.2473049835278700,126.5590350005074600,5
1042,작은따옴표_2호점,서울시 관악구 신원동 1635-63 지하 1층,37.4801295999124450,126.9280759660684600,1
1055,구_송정초등학교,부산광역시 해운대구 송정동,35.1836575940408000,129.2036694394074300,3
1029,001클럽,서울시 마포구 서교동  360-18,37.5509964014669300,126.9240289847084700,1
477,1971바,서울시 동대문구 회기동 42-50,37.5925178737545900,127.0518132027097200,38
573,1974PLY,전라남도 여수시 문수동 189-5,34.7517611771912700,127.7011328862326400,1
518,1984,서울특별시 마포구 동교동 158-24 혜원빌딩 1층,37.5573927290223100,126.9228635662869600,4
486,2013_고양락페스티벌,경기도 고양시 일산서구 대화동 2606,37.6645531969778350,126.7545264716958800,3
464,2호선강남역,서울 강남구 역삼동 821-1,37.4986134225998500,127.0280562506182600,7
845,3ㅈhouse,종로구 가회동 33-3번지,37.5829257105897700,126.9831898453769800,1
253,5POINTZ_ART_SPACE,서울 강남구 신사 551-7,37.5218960466778500,127.0239332883348000,1
652,63컨벤션센터,서울시 영등포구 여의도동 60,37.5198346185040800,126.9400737902884800,4
782,A_Hall,경기도 안양시 만안구 안양동 534,37.3848162316342250,126.9337948585008400,1
514,aA_디자인_뮤지엄,서울 마포구 서교동 408-11,37.5495566366435940,126.9213235529866900,7
17,ALL_OF_ROCK_A.O.R,마포구 서교동 325-26,37.5548529949230100,126.9303989414704600,50
327,Almost_Famous,부산 대연3동 55-2,35.1373464278009200,129.1012885025194500,9
416,artspace_behive,서울특별시 강남구 청담동 78-5,37.5271245165318800,127.0411124573936400,1
959,B612.favori,서울특별시 강동구 천호동 466-18,37.5421253557062300,127.1210965513344900,6
310,Bar_Exit,서울 마포구 서교동 362-15,37.5518642833356300,126.9229293793409300,1
382,bar_sha,서울특별시 마포구 상수동 93-86,37.5490927740447100,126.9228372323378100,10
187,Bar001,서울 마포구 합정동 412-1,37.5484585522683700,126.9177094041044100,4
308,Burgermine,서울 용산구 용산동2가 45-9,37.5414633073998000,126.9873324345408300,1
127,c_cloud,서울시 마포구 합정동 412-26,37.5486670827282940,126.9169835523194000,202
23,CAFE_COMMON,서울시 마포구 서교동 400-16,37.5490683338663000,126.9187181332820000,11
284,Cafe_Dorothy,서울특별시 서초구 서초4동 1303-31,37.5034687572898700,127.0244570579200300,1
1126,CGV_수원, 경기도 수원시 팔달구 덕영대로 924 (매산로1가  수원역사 6층),37.2656785788000000,127.0000947002000000,1
1186,CGV_씨네_라이브러리,서울특별시 중구 퇴계로 123 (명동  하이해리엇 10층),37.5612660781000000,126.9853632831000000,1
1031,CGV_일산,경기도 고양시 일산동구 정발산로 24 ,37.6558956887103800,126.7720388186548200,1
53,CJ_아지트_CJ_AZIT,서울특별시 마포구 신정동 145-9,37.5442645303540000,126.9301974147870000,38
389,Club_Broken_Teeth브로큰티스,서울시 마포구 망원동 378-15,37.5556246059150100,126.9098607769693500,1
238,Club_Mansion,서울시 마포구 서교동 368-22,37.5516135119738550,126.9198379306891300,1
365,Collage_꼴라쥬플러스,서울 강남구 청담동 91-5,37.5241796389579960,127.0423643282337000,1
192,creative_i_bar,서울 마포구 서교동 342-2,37.5540898248377460,126.9258332574007500,1
368,CTS아트홀,서울특별시 동작구 노량진2동 27-2,37.5128813900734700,126.9369730548474400,2
131,CY씨어터_가톨릭청년회관_다리,서울시 마포구 동교동 158-2,37.5572270578536000,126.9230505040399900,6
1175,DDP_잔디언덕,서울시 중구 을지로 281,37.5668131264000000,127.0096257245000000,2
1067,DDP_팔거리_광장,서울특별시 중구 을지로 281,37.5671697796204850,127.0112240286511700,1
307,Deeleebob_Music,서울 용산구 용산동2가 37-4,37.5428256213933600,126.9874453298025100,1
61,EBS_스페이스_공감,서울시 강남구 도곡동 463,37.4866185493111460,127.0471092529916700,85
273,FABRIC,부산시 남구 대연동 60-13,35.1357263976856800,129.1013785290900300,1
106,FB소울하우스,마포구 동교동 186-15,37.5552940288821100,126.9325001448587600,22
133,Gas금정구예술공연지원센터,부산광역시 금정구 장전동 420-47,35.2305888307627840,129.0852909467397200,2
977,GBN_라이브_하우스,영등포구 문래동3가 54-41 지하1층,37.5137353505935100,126.8965402458549600,8
987,hq_광안,부산광역시 수영구 광안해변로 237 테마타워,35.1547230548450200,129.1199242960215000,3
88,Jess,서울특별시 마포구 서교동 364-26,37.5522601768807360,126.9221186836901400,7
390,JNOVA제이노바,서울 서대문구 창천동 92-6,37.5604588000888400,126.9331734504977300,71
779,KTandG_상상마당_갤러리,서울시 마포구 어울마당로 65,37.5509584166829300,126.9210640598040200,1
252,LG아트센터,서울 강남구 역삼동 679-0[논현로 508],37.5020961989742640,127.0367972229973300,1
558,LIG아트홀_강남,서울시 강남구 역삼동 649-11,37.4991949165548300,127.0302669809456300,2
659,LIG아트홀_부산,부산광역시 동구 범일동 830-30,35.1382878271754960,129.0640934104264400,5
93,LIG아트홀_역삼,서울특별시 강남구 역삼동 649-11 ,37.4991967534083000,127.0302639250330000,1
448,LIG아트홀_합정,서울시 마포구 양화로 19,37.5491421201907600,126.9112130898164400,13
554,MAMO_Project_Space,서울시 마포구 서교동 361-18 스타리나잇 건물 3층 (121-837) ,37.5512736107239460,126.9235669818878900,1
288,MOONNIGHT,서울 용산구 이태원동 132-3,37.5335918064142100,126.9951983246156600,13
278,nest_NADA,서울 마포구 서교동 336-5[와우산로29길 15],37.5547655655208100,126.9288327180712600,893
