musician_id,filename,event_count
1183,D.tails,1
5735,D.W.T.N,1
2939,DAK,7
421,Dakine_김철수_Band,2
1094,DAMAGE,2
2522,Damagia,2
6672,Damon_Brown_interrational_Quintet_With_perrick_Pedron,1
6677,Damon_Brown_Quartet,3
4768,Damon_Brown_Trio,8
4716,Dan_Deacon,1
1277,Daniel_Star,1
2247,Daniel_Vaillancourt,1
3435,Danobannon,2
1770,Dark_Ambition,4
2289,Dark_Funeral,1
4564,Dark_mirror_ov_tragedy,3
1282,Dark_Tranquility,2
6423,darley,1
7017,Days,1
3801,DEDiK,1
3194,Deploy,1
1546,Design,4
4916,deyazmach_dready,1
2672,DHMP,1
1752,DHWP,1
2294,Dia_Frampton,1
1445,Dirty_30s,3
2689,Dirty_Beaches,4
2512,Dirty_Dogs,1
1435,Dirty_Foot,4
2661,Dirty_Projectors,1
1234,Disanto,1
1399,DISFIGURE,7
4554,Dissektist,2
2800,DJ_Aaron,1
4745,DJ_Aeltek,1
781,DJ_ANDREW,0
690,DJ_BLACK_FEDORA,0
1912,DJ_Brainchild,1
2182,DJ_Byul,1
687,DJ_CONAN,0
207,DJ_FEADZ,0
2178,DJ_Gon,1
689,DJ_JUN,1
119,DJ_KOO,1
2177,DJ_Kyper,1
5823,DJ_Meijin_Takahashi,2
824,Dj_Quandol,2
2201,DJ_Smiley,2
688,DJ_SMOOD,0
3147,DJ_Wegun,1
210,DJ_YUP,0
826,DJ_소울스케이프_DJ_Soulscape,3
4968,DJ_집,1
745,DJ_판돌,1
2141,DJ.59,18
6867,Djang_San,1
508,DJ안과장,7
1661,DMCK,11
551,DMOT,4
449,DMZ_Picnic,2
2536,DNA,16
1950,DnC,6
2563,Do_To_Rock,1
1804,Dodge_and_the_Bullets,2
2930,Dog_Last_Page,15
945,Dokkaebi_Assault,2
5298,Dont_Cry_Island,2
2265,Donny_Doran,1
2181,Double_Strike,1
1431,Down_In_A_Hole,1
4593,Dr_Eggs,1
1093,DrainUs,4
4765,dreamboat,3
4594,Dregas,6
2273,Drunk_and_Disorderly,1
2043,Dry_night,8
4549,DSSB,1
